medicine_name,company,strength,form,price,description,stock
Aspirin,Bayer,500mg,Tablet,15,Analgesic and antipyretic,500
Ibuprofen,Cipla,200mg,Tablet,20,Anti-inflammatory and pain reliever,450
Paracetamol,Crocin,500mg,Tablet,12,Pain reliever and fever reducer,600
Amoxicillin,Novartis,250mg,Capsule,45,Beta-lactam antibiotic,300
Azithromycin,Ranbaxy,500mg,Tablet,85,Macrolide antibiotic,200
Ciprofloxacin,Dr Reddy's,500mg,Tablet,55,Fluoroquinolone antibiotic,250
Doxycycline,Aurobindo,100mg,Capsule,35,Tetracycline antibiotic,280
Metformin,Intas,500mg,Tablet,25,Antidiabetic agent,550
Insulin Glargine,Novo Nordisk,100 IU/mL,Injection,450,Long-acting insulin,100
Amlodipine,Torrent,5mg,Tablet,30,Calcium channel blocker,400
Lisinopril,Lupin,10mg,Tablet,38,ACE inhibitor,350
Atenolol,Cipla,50mg,Tablet,22,Beta blocker,420
Omeprazole,Glenmark,20mg,Capsule,28,Proton pump inhibitor,480
Ranitidine,Bio Pharma,150mg,Tablet,18,H2 receptor antagonist,510
Metoclopramide,Alkem,10mg,Tablet,15,Antiemetic,380
Ondansetron,Cipla,4mg,Tablet,35,5-HT3 antagonist,200
Acyclovir,Macleods,400mg,Tablet,95,Antiviral agent,150
Loratadine,Sun Pharma,10mg,Tablet,22,Antihistamine,490
Cetirizine,Cadila,10mg,Tablet,18,H1 receptor antagonist,520
Diphenhydramine,Abbott,25mg,Tablet,25,First-generation antihistamine,400
Clotrimazole,Concept,1%,Cream,45,Antifungal,280
Terbinafine,Sun Pharma,250mg,Tablet,180,Antifungal for nails,120
Fluconazole,Cipla,200mg,Tablet,220,Azole antifungal,110
Amitriptyline,Intas,25mg,Tablet,35,Tricyclic antidepressant,350
Sertraline,Lupin,50mg,Tablet,95,SSRI antidepressant,200
Paroxetine,Dr Reddy's,20mg,Tablet,105,SSRI antidepressant,190
Alprazolam,Wyeth,0.5mg,Tablet,85,Benzodiazepine anxiolytic,180
Diazepam,Roche,5mg,Tablet,45,Benzodiazepine anxiolytic,250
Lorazepam,Wyeth,1mg,Tablet,65,Benzodiazepine anxiolytic,220
Lithium Carbonate,Generic,300mg,Tablet,75,Mood stabilizer,200
Carbamazepine,Novartis,200mg,Tablet,55,Anticonvulsant,280
Phenytoin,Pfizer,100mg,Tablet,40,Anticonvulsant,320
Valproic Acid,Cipla,200mg,Tablet,65,Anticonvulsant,260
Levetiracetam,UCB,500mg,Tablet,320,Anticonvulsant,100
Tramadol,Cipla,100mg,Tablet,45,Opioid analgesic,200
Morphine,Abbott,10mg,Tablet,180,Opioid analgesic,80
Codeine,Pfizer,30mg,Tablet,35,Opioid analgesic,250
Aspirin + Caffeine,Cipla,500+65mg,Tablet,18,Combination analgesic,420
Ibuprofen + Paracetamol,Calpol,200+500mg,Tablet,22,Combination analgesic,400
Metoclopramide + Tramadol,Combiflam,10+50mg,Tablet,25,Combination pain relief,380
Acetaminophen,Crocin,650mg,Tablet,14,Analgesic and antipyretic,580
Mefenamic Acid,Ponstan,250mg,Tablet,28,NSAID analgesic,350
Meloxicam,Mobicox,15mg,Tablet,42,NSAID anti-inflammatory,300
Indomethacin,Merck,25mg,Capsule,35,NSAID anti-inflammatory,290
Naproxen,Cipla,250mg,Tablet,38,NSAID anti-inflammatory,310
Ketoprofen,Ranbaxy,100mg,Tablet,48,NSAID anti-inflammatory,270
Piroxicam,Forte,20mg,Tablet,55,NSAID anti-inflammatory,200
Tenoxicam,Generic,20mg,Tablet,65,NSAID anti-inflammatory,180
Diclofenac,Voltaren,50mg,Tablet,22,NSAID anti-inflammatory,450
Diclofenac,Voltaren,50mg,Injection,25,NSAID anti-inflammatory IM,300
Isoniazid,Lupin,300mg,Tablet,18,Antitubercular agent,400
Rifampicin,Dr Reddy's,450mg,Capsule,85,Antitubercular agent,200
Pyrazinamide,Cipla,500mg,Tablet,35,Antitubercular agent,280
Ethambutol,Sun Pharma,400mg,Tablet,45,Antitubercular agent,250
Trimethoprim-Sulfa,Septra,80-400mg,Tablet,28,Antibiotic combination,350
Tetracycline,Generic,250mg,Capsule,28,Tetracycline antibiotic,330
Chlortetracycline,Cipla,250mg,Capsule,32,Tetracycline antibiotic,310
Minocycline,Ranbaxy,100mg,Capsule,95,Tetracycline antibiotic,170
Cephalexin,Cipla,500mg,Capsule,65,First-generation cephalosporin,220
Cefixime,Suprax,200mg,Tablet,85,Third-generation cephalosporin,200
Ceftriaxone,Cipla,250mg,Injection,105,Third-generation cephalosporin,150
Ampicillin,Cipla,250mg,Capsule,25,Beta-lactam antibiotic,380
Penicillin G,Pfizer,1000000 IU,Injection,45,Natural penicillin,280
Erythromycin,Abbott,500mg,Tablet,60,Macrolide antibiotic,200
Clarithromycin,Sun Pharma,250mg,Tablet,105,Macrolide antibiotic,160
Roxithromycin,Cipla,300mg,Tablet,85,Macrolide antibiotic,190
Norfloxacin,Cipla,400mg,Tablet,35,Fluoroquinolone antibiotic,320
Ofloxacin,Ranbaxy,400mg,Tablet,42,Fluoroquinolone antibiotic,300
Levofloxacin,Cipla,500mg,Tablet,95,Fluoroquinolone antibiotic,170
Moxifloxacin,Avelox,400mg,Tablet,145,Fluoroquinolone antibiotic,120
Gatifloxacin,Cipla,400mg,Tablet,78,Fluoroquinolone antibiotic,200
Gentamicin,Cipla,80mg,Injection,35,Aminoglycoside antibiotic,250
Neomycin,Generic,500mg,Tablet,45,Aminoglycoside antibiotic,200
Streptomycin,Generic,1gm,Injection,55,Aminoglycoside antibiotic,180
Amikacin,Cipla,250mg,Injection,85,Aminoglycoside antibiotic,150
Tobramycin,Generic,80mg,Injection,125,Aminoglycoside antibiotic,100
Vancomycin,Generic,500mg,Injection,850,Glycopeptide antibiotic,40
Clindamycin,Cipla,300mg,Capsule,105,Lincosamide antibiotic,150
Linezolid,Cipla,600mg,Tablet,485,Oxazolidinone antibiotic,60
Metronidazole,Cipla,400mg,Tablet,22,Nitroimidazole antibiotic,420
Tinidazole,Cipla,300mg,Tablet,32,Nitroimidazole antibiotic,350
Nitrofurantoin,Cipla,100mg,Capsule,65,Nitrofuran antibiotic,210
Fosfomycin,Generic,3gm,Sachet,185,Phosphonic acid antibiotic,100
Colistin,Generic,1000000 IU,Injection,125,Polypeptide antibiotic,110
Polymyxin B,Generic,500000 IU,Injection,135,Polypeptide antibiotic,105
Daptomycin,Merck,500mg,Injection,1850,Lipopeptide antibiotic,30
Caspofungin,Merck,50mg,Injection,2500,Antifungal echinocandin,20
Insulin Aspart,Novo Nordisk,100 IU/mL,Injection,380,Rapid-acting insulin,110
Insulin Lispro,Humalog,100 IU/mL,Injection,420,Rapid-acting insulin,100
Insulin Neutral,Eli Lilly,100 IU/mL,Injection,120,Regular insulin,200
Gliclazide,Cipla,80mg,Tablet,28,Sulfonylurea agent,400
Glibenclamide,Ranbaxy,5mg,Tablet,32,Sulfonylurea agent,380
Glipizide,Cipla,5mg,Tablet,35,Sulfonylurea agent,370
Tolbutamide,Generic,500mg,Tablet,38,Sulfonylurea agent,350
Pioglitazone,Cipla,15mg,Tablet,85,Thiazolidinedione,200
Rosiglitazone,GSK,4mg,Tablet,95,Thiazolidinedione,180
Sitagliptin,Merck,50mg,Tablet,185,DPP-4 inhibitor,140
Saxagliptin,AstraZeneca,5mg,Tablet,180,DPP-4 inhibitor,145
Vildagliptin,Cipla,50mg,Tablet,135,DPP-4 inhibitor,160
Exenatide,Eli Lilly,250 mcg,Injection,4500,GLP-1 agonist,15
Liraglutide,Novo Nordisk,18 mg/3 mL,Injection,3200,GLP-1 agonist,25
Empagliflozin,Boehringer Ingelheim,10mg,Tablet,250,SGLT2 inhibitor,110
Dapagliflozin,Bristol Myers Squibb,10mg,Tablet,280,SGLT2 inhibitor,100
Canagliflozin,Janssen,300mg,Tablet,290,SGLT2 inhibitor,105
Acarbose,Cipla,50mg,Tablet,45,Alpha-glucosidase inhibitor,250
Voglibose,Cipla,0.3mg,Tablet,42,Alpha-glucosidase inhibitor,260
Miglitol,Generic,25mg,Tablet,48,Alpha-glucosidase inhibitor,240
Repaglinide,Cipla,1mg,Tablet,65,Meglitinide agent,200
Nateglinide,Generic,120mg,Tablet,58,Meglitinide agent,210
Linagliptin,Boehringer Ingelheim,5mg,Tablet,195,DPP-4 inhibitor,130
Alogliptin,Takeda,25mg,Tablet,180,DPP-4 inhibitor,150
Teneligliptin,Cipla,20mg,Tablet,125,DPP-4 inhibitor,170
Atorvastatin,Cipla,10mg,Tablet,32,Statin cholesterol reducer,420
Lovastatin,Merck,20mg,Tablet,65,Statin cholesterol reducer,200
Pravastatin,Bristol Myers Squibb,40mg,Tablet,78,Statin cholesterol reducer,190
Simvastatin,Merck,20mg,Tablet,35,Statin cholesterol reducer,400
Rosuvastatin,Cipla,10mg,Tablet,88,Statin cholesterol reducer,180
Pitavastatin,Cipla,2mg,Tablet,125,Statin cholesterol reducer,150
Fluvastatin,Novartis,40mg,Capsule,95,Statin cholesterol reducer,170
Fenofibrate,Cipla,145mg,Tablet,95,Fibrate triglyceride lowerer,160
Gemfibrozil,Pfizer,600mg,Tablet,105,Fibrate triglyceride lowerer,150
Bezafibrate,Generic,200mg,Tablet,88,Fibrate triglyceride lowerer,170
Ciprofibrate,Generic,100mg,Tablet,92,Fibrate triglyceride lowerer,165
Nicotinic Acid,Generic,500mg,Tablet,15,Niacin cholesterol raiser,500
Ezetimibe,Cipla,10mg,Tablet,125,Cholesterol absorption inhibitor,140
Bempedoic Acid,Cipla,120mg,Tablet,180,Urate-lowering agent,100
PCSK9 Inhibitor,Amgen,420mg,Injection,8500,Lipid-lowering agent,10
Triglyceryl Copaivate,Generic,100mg,Tablet,35,Cholesterol agent,300
Colestipol,Generic,5gm,Tablet,75,Bile acid sequestrant,180
Cholestyramine,Generic,4gm,Sachet,85,Bile acid sequestrant,150
Colesevelam,Generic,625mg,Tablet,95,Bile acid sequestrant,140
Probucol,Generic,250mg,Tablet,58,Cholesterol-lowering agent,210
Clopidogrel,Cipla,75mg,Tablet,185,Antiplatelet agent,130
Ticlopidine,Generic,250mg,Tablet,95,Antiplatelet agent,170
Aspirin + Clopidogrel,Generic,75+100mg,Tablet,65,Dual antiplatelet therapy,220
Dipyridamole,Generic,25mg,Tablet,45,Antiplatelet agent,280
Cilostazol,Generic,100mg,Tablet,125,Antiplatelet vasodilator,150
Ticagrelor,AstraZeneca,60mg,Tablet,450,Antiplatelet agent,70
Prasugrel,Eli Lilly,5mg,Tablet,320,Antiplatelet agent,90
